spellName,school,subschool,descriptor,spellLevel,castTime,spellComponents,range,area,effect,target,duration,savingThrow,spellResistance,description,reference,domain,shortDescription,materialComponents
Symbol of Insanity,enchantment,compulsion,mind-affecting,"cleric/oracle 8, sorcerer/wizard 8, witch 8, occultist 6",10 minutes,"V, S, M (mercury and phosphorus, plus powdered diamond and opal worth a total of 5,000 gp)",0 ft.; see text,,one symbol,,see text,Will negates,yes,"&lt;p&gt;This spell functions like &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; death&lt;/i&gt;, except that all creatures within the radius of the &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;insanity&lt;/i&gt;&lt;/i&gt; instead become permanently insane (as the &lt;i&gt;insanity&lt;/i&gt; spell).&lt;/p&gt;&lt;p&gt;Unlike &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; death&lt;/i&gt;, &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;insanity&lt;/i&gt;&lt;/i&gt; has no hit point limit; once triggered, a &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;insanity&lt;/i&gt;&lt;/i&gt; simply remains active for 10 minutes per caster level.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Note:&lt;/i&gt; Magic traps such as &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;insanity&lt;/i&gt;&lt;/i&gt; are hard to detect and disable. A rogue (only) can use the Perception skill to find a &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;insanity&lt;/i&gt;&lt;/i&gt; and Disable Device to thwart it. The DC in each case is 25 + spell level, or 33 for &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;insanity&lt;/i&gt;&lt;/i&gt;.&lt;/p&gt;",PFRPG Core,,Triggered rune renders nearby creatures insane.,5000
Symbol of Pain,necromancy,,"evil, pain","cleric/oracle 5, sorcerer/wizard 5, witch 5, occultist 4, mesmerist 5",10 minutes,"V, S, M (mercury and phosphorus, plus powdered diamond and opal worth a total of 1,000 gp)",0 ft.; see text,,one symbol,,see text,Fortitude negates,yes,"&lt;p&gt;This spell functions like &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; death&lt;/i&gt;, except that each creature within the radius of a &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;pain&lt;/i&gt;&lt;/i&gt; instead suffers wracking &lt;i&gt;pain&lt;/i&gt;s that impose a -4 penalty on attack rolls, skill checks, and ability checks. These effects last for 1 hour after the creature moves farther than 60 feet from the symbol.&lt;/p&gt;&lt;p&gt;Unlike &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; death&lt;/i&gt;, &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;pain&lt;/i&gt;&lt;/i&gt; has no hit point limit; once triggered, a &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;pain&lt;/i&gt;&lt;/i&gt; simply remains active for 10 minutes per caster level.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Note:&lt;/i&gt; Magic traps such as &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;pain&lt;/i&gt;&lt;/i&gt; are hard to detect and disable. A rogue (only) can use the Perception skill to find a &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;pain&lt;/i&gt;&lt;/i&gt; and Disable Device to thwart it. The DC in each case is 25 + spell level, or 30 for &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;pain&lt;/i&gt;&lt;/i&gt;.&lt;/p&gt;",PFRPG Core,"Torture (5), Kyton (5)",Triggered rune wracks nearby creatures with pain.,1000
Symbol of Persuasion,enchantment,charm,mind-affecting,"cleric/oracle 6, sorcerer/wizard 6, witch 6, occultist 4, mesmerist 6",10 minutes,"V, S, M (mercury and phosphorus, plus powdered diamond and opal worth a total of 5,000 gp)",0 ft.; see text,,one symbol,,see text,Will negates,yes,"&lt;p&gt;This spell functions like &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; death&lt;/i&gt;, except that all creatures within the radius of a &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;persuasion&lt;/i&gt;&lt;/i&gt; instead become charmed by the caster (as the &lt;i&gt;charm monster&lt;/i&gt; spell) for 1 hour per caster level.&lt;/p&gt;&lt;p&gt;Unlike &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; death&lt;/i&gt;, &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;persuasion&lt;/i&gt;&lt;/i&gt; has no hit point limit; once triggered, a &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;persuasion&lt;/i&gt;&lt;/i&gt; simply remains active for 10 minutes per caster level.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Note:&lt;/i&gt; Magic traps such as &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;persuasion&lt;/i&gt;&lt;/i&gt; are hard to detect and disable. A rogue (only) can use the Perception skill to find a &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;persuasion&lt;/i&gt;&lt;/i&gt; and Disable Device to thwart it. The DC in each case is 25 + spell level, or 31 for &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;persuasion&lt;/i&gt;&lt;/i&gt;.&lt;/p&gt;",PFRPG Core,"Revolution (6), Tyranny (7)",Triggered rune charms nearby creatures.,5000
Symbol of Sleep,enchantment,compulsion,mind-affecting,"cleric/oracle 5, sorcerer/wizard 5, witch 5, occultist 4, mesmerist 5",10 minutes,"V, S, M (mercury and phosphorus, plus powdered diamond and opal worth a total of 1,000 gp)",0 ft.; see text,,one symbol,,see text,Will negates,yes,"&lt;p&gt;This spell functions like &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; death&lt;/i&gt;, except that all creatures of 10 HD or less within 60 feet of the &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;sleep&lt;/i&gt;&lt;/i&gt; instead fall into a catatonic slumber for 3d6 x 10 minutes. Unlike with the &lt;i&gt;sleep&lt;/i&gt; spell, &lt;i&gt;sleep&lt;/i&gt;ing creatures cannot be awakened by nonmagical means before this time expires.&lt;/p&gt;&lt;p&gt;Unlike &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; death&lt;/i&gt;, &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;sleep&lt;/i&gt;&lt;/i&gt; has no hit point limit; once triggered, a &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;sleep&lt;/i&gt;&lt;/i&gt; simply remains active for 10 minutes per caster level.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Note:&lt;/i&gt; Magic traps such as &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;sleep&lt;/i&gt;&lt;/i&gt; are hard to detect and disable. A rogue (only) can use the Perception skill to find a &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;sleep&lt;/i&gt;&lt;/i&gt; and Disable Device to thwart it. The DC in each case is 25 + spell level, or 30 for &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;sleep&lt;/i&gt;&lt;/i&gt;.&lt;/p&gt;",PFRPG Core,,Triggered rune puts nearby creatures into catatonic slumber.,1000
Symbol of Stunning,enchantment,compulsion,mind-affecting,"cleric/oracle 7, sorcerer/wizard 7, witch 7, occultist 5",10 minutes,"V, S, M (mercury and phosphorus, plus powdered diamond and opal worth a total of 5,000 gp)",0 ft.; see text,,one symbol,,see text,Will negates,yes,"&lt;p&gt;This spell functions like &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; death&lt;/i&gt;, except that all creatures within 60 feet of a &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;stunning&lt;/i&gt;&lt;/i&gt; instead become stunned for 1d6 rounds.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Note:&lt;/i&gt; Magic traps such as &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;stunning&lt;/i&gt;&lt;/i&gt; are hard to detect and disable. A rogue (only) can use the Perception skill to find a &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;stunning&lt;/i&gt;&lt;/i&gt; and Disable Device to thwart it. The DC in each case is 25 + spell level, or 32 for &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;stunning&lt;/i&gt;&lt;/i&gt;.&lt;/p&gt;",PFRPG Core,,Triggered rune stuns nearby creatures.,5000
Symbol Of Weakness,necromancy,,,"cleric/oracle 7, sorcerer/wizard 7, witch 7, occultist 5",10 minutes,"V, S, M (mercury and phosphorus, plus powdered diamond and opal worth a total of 5,000 gp)",0 ft.; see text,,one symbol,,see text,Fortitude negates,yes,"&lt;p&gt;This spell functions like &lt;i&gt;symbol of death&lt;/i&gt;, except that every creature within 60 feet of a &lt;i&gt;symbol of weakness&lt;/i&gt; instead suffers crippling weakness that deals 3d6 points of Strength damage.&lt;/p&gt;&lt;p&gt;Unlike &lt;i&gt;symbol of death&lt;/i&gt;, &lt;i&gt;symbol of weakness&lt;/i&gt; has no hit point limit; once triggered, a &lt;i&gt;symbol of weakness&lt;/i&gt; simply remains active for 10 minutes per caster level. A creature can only be affected by this symbol once.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Note&lt;/i&gt;: Magic traps such as &lt;i&gt;symbol of weakness&lt;/i&gt; are hard to detect and disable. While any character can use Perception to find a symbol, only a character with the trapfinding class feature can use Disable Device to disarm it. The DC in each case is 25 + spell level, or 32 for &lt;i&gt;symbol of weakness&lt;/i&gt;.&lt;/p&gt;",PFRPG Core,,Triggered rune weakens nearby creatures.,5000
Sympathetic Vibration,evocation,,sonic,bard 6,10 minutes,"V, S, F (a tuning fork)",touch,,,one freestanding structure,up to 1 round/level,none; see text,yes,"&lt;p&gt;By attuning yourself to a freestanding structure, you can create a damaging vibration within it. Once it begins, the vibration deals 2d10 points of damage per round to the target structure, bypassing hardness. You can choose at the time of casting to limit the duration of the spell; otherwise it lasts for 1 round per level. If the spell is cast upon a target that is not freestanding, the surrounding stone dissipates the effect and no damage occurs.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Sympathetic vibration&lt;/i&gt; cannot affect creatures (including constructs). Since a structure is an unattended object, it gets no saving throw to resist the effect.&lt;/p&gt;",PFRPG Core,,Deals 2d10 damage/round to freestanding structure.,NULL
Sympathy,enchantment,compulsion,"mind-affecting, emotion","druid 9, sorcerer/wizard 8, summoner/unchained summoner 6, witch 8, occultist 6, psychic 8",1 hour,"V, S, M (a drop of honey and crushed pearls worth 1,500 gp)",close (25 ft. + 5 ft./2 levels),,,one location (up to a 10-ft. cube/level) or one object,2 hours/level,Will negates; see text,yes,"&lt;p&gt;You cause an object or location to emanate magical vibrations that attract either a specific kind of intelligent creature or creatures of a particular alignment, as defined by you. The particular kind of creature to be affected must be named specifically. A creature subtype is not specific enough. Likewise, the specific alignment must be named.&lt;/p&gt;&lt;p&gt;Creatures of the specified kind or alignment feel elated and pleased to be in the area or desire to touch or possess the object. The compulsion to stay in the area or touch the object is overpowering. If the save is successful, the creature is released from the enchantment, but a subsequent save must be made 1d6 x 10 minutes later. If this save fails, the affected creature attempts to return to the area or object.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Sympathy&lt;/i&gt; counters and dispels &lt;i&gt;antipathy&lt;/i&gt;.&lt;/p&gt;",PFRPG Core,,Object or location attracts certain creatures.,1500
Telekinesis,transmutation,,,"sorcerer/wizard 5, magus 5, occultist 5, psychic 4, spiritualist 5",1 standard action,"V, S",long (400 ft. + 40 ft./level),,,or  see text,concentration (up to 1 round/level) or instantaneous; see text,Will negates (object) or none; see text,yes (object); see text,"&lt;p&gt;You move objects or creatures by concentrating on them.&lt;/p&gt;&lt;p&gt;Depending on the version selected, the spell can provide a gentle, sustained force, perform a variety of combat maneuvers, or exert a single short, violent thrust.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Sustained Force&lt;/i&gt;: A sustained force moves an object weighing no more than 25 pounds per caster level (maximum 375 pounds at 15th level) up to 20 feet per round. A creature can negate the effect on an object it possesses with a successful Will save or with spell resistance.&lt;/p&gt;&lt;p&gt;This version of the spell can last 1 round per caster level, but it ends if you cease concentration. The weight can be moved vertically, horizontally, or in both directions. An object cannot be moved beyond your range. The spell ends if the object is forced beyond the range. If you cease concentration for any reason, the object falls or stops.&lt;/p&gt;&lt;p&gt;An object can be telekinetically manipulated as if with one hand.&lt;/p&gt;&lt;p&gt;For example, a lever or rope can be pulled, a key can be turned, an object rotated, and so on, if the force required is within the weight limitation. You might even be able to untie simple knots, though delicate activities such as these require DC 15 Intelligence checks.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Combat Maneuver&lt;/i&gt;: Alternatively, once per round, you can use &lt;i&gt;telekinesis&lt;/i&gt; to perform a bull rush, disarm, grapple (including pin), or trip. Resolve these attempts as normal, except that they don&apos;t provoke attacks of opportunity, you use your caster level in place of your &lt;i&gt;Combat Maneuver&lt;/i&gt; Bonus, and you add your Intelligence modifier (if a wizard) or Charisma modifier (if a sorcerer) in place of your Strength or Dexterity modifier. No save is allowed against these attempts, but spell resistance applies normally. This version of the spell can last 1 round per caster level, but it ends if you cease concentration.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Violent Thrust&lt;/i&gt;: Alternatively, the spell energy can be spent in a single round. You can hurl one object or creature per caster level (maximum 15) that are within range and all within 10 feet of each other toward any target within 10 feet per level of all the objects.&lt;/p&gt;&lt;p&gt;You can hurl up to a total weight of 25 pounds per caster level (maximum 375 pounds at 15th level).&lt;/p&gt;&lt;p&gt;You must succeed on attack rolls (one per creature or object thrown) to hit the target with the items, using your base attack bonus + your Intelligence modifier (if a wizard) or Charisma modifier (if a sorcerer). Weapons cause standard damage (with no Strength bonus; note that arrows or bolts deal damage as daggers of their size when used in this manner). Other objects cause damage ranging from 1 point per 25 pounds (for less dangerous objects) to 1d6 points of damage per 25 pounds (for hard, dense objects).&lt;/p&gt;&lt;p&gt;Objects and creatures that miss their target land in a square adjacent to the target.&lt;/p&gt;&lt;p&gt;Creatures who fall within the weight capacity of the spell can be hurled, but they are allowed Will saves (and spell resistance) to negate the effect, as are those whose held possessions are targeted by the spell.&lt;/p&gt;&lt;p&gt;If a telekinesed creature is hurled against a solid surface, it takes damage as if it had fallen 10 feet (1d6 points).&lt;/p&gt;",PFRPG Core,,"Moves object, attacks creature, or hurls object or creature.",NULL
Telekinetic Sphere,evocation,,force,"sorcerer/wizard 8, psychic 7",1 standard action,"V, S, M (a crystal sphere and a pair of small magnets)",close (25 ft. + 5 ft./2 levels),,"1-ft.-diameter/level sphere, centered around creatures or objects",,1 min./level,Reflex negates (object),yes (object),"&lt;p&gt;This spell functions like &lt;i&gt;resilient sphere,&lt;/i&gt; but the creatures or objects caught inside the globe created by the spell are made nearly weightless. Anything contained within a &lt;i&gt;telekinetic sphere&lt;/i&gt; weighs only one-sixteenth of its normal weight. You can telekinetically lift anything in the sphere that normally weighs 5,000 pounds or less. The telekinetic control extends from you out to medium range (100 feet + 10 feet per caster level) after the sphere has succeeded in encapsulating its contents.&lt;/p&gt;&lt;p&gt;You can move the sphere, along with the objects and creatures it contains that weigh a total of 5,000 pounds or less, by concentrating on the sphere. You can begin moving a sphere in the round after casting the spell. If you concentrate on doing so (a standard action), you can move the sphere as much as 30 feet in a round. If you cease concentrating, the sphere does not move in that round (if on a level surface) or descends at its falling rate (if aloft) until it reaches a level surface. You can resume concentrating on your next turn or any later turn during the spell&apos;s duration.&lt;/p&gt;&lt;p&gt;The sphere falls at a rate of only 60 feet per round, which is not fast enough to cause damage to the contents of the sphere.&lt;/p&gt;&lt;p&gt;You can move the sphere telekinetically even if you are in it.&lt;/p&gt;",PFRPG Core,,"As resilient sphere, but you move the sphere telekinetically.",NULL
Telepathic Bond,divination,,,"sorcerer/wizard 5, witch 5, inquisitor 5, psychic 4, mesmerist 4, spiritualist 5, medium 4",1 standard action,"V, S, M (two eggshells from two different creatures)",close (25 ft. + 5 ft./2 levels),,,"you plus one willing creature per three levels, no two of which can be more than 30 ft. apart",10 min./level,none,no,"&lt;p&gt;You forge a telepathic bond among yourself and a number of willing creatures, each of which must have an Intelligence score of 3 or higher. Each creature included in the link is linked to all the others. The creatures can communicate telepathically through the bond regardless of language. No special power or influence is established as a result of the bond. Once the bond is formed, it works over any distance (although not from one plane to another).&lt;/p&gt;&lt;p&gt;If desired, you may leave yourself out of the telepathic bond forged. This decision must be made at the time of casting.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Telepathic bond&lt;/i&gt; can be made permanent with a &lt;i&gt;permanency&lt;/i&gt; spell, though it only bonds two creatures per casting of &lt;i&gt;permanency&lt;/i&gt;.&lt;/p&gt;",PFRPG Core,"Community (5), Language (5), Thought (5), Friendship (5), Aeon (5)",Link lets allies communicate.,NULL
